Mileage,Transmission,Drive Type,Selling location,Sold,Selling price,Date of publication ,Manufacturer,Model Family,Model Generation,Production year,VIN of the vehicle,Ext. Color Group,Int. Color Group,Date of sale/ending,Number of pictures in listing,Number of videos in listing,Total number of bids,Interior material
117k mi,Automatic,LHD,"Hailey, Idaho, USA",FOR SALE,"$105,000",2024-04-27,Porsche,911,964,1993,WP0ZZZ96ZPS401677,Green,Black,2024-04-27,,,,
32k km (20k mi),Automatic,LHD,"Monaco, MCO",PENDING,,2024-05-09,Porsche,911,964,1991,WP0ZZZ96ZMS400084,Red,Black,2024-05-09,,,,
169k mi,Automatic,LHD,"Ottumwa, Iowa, USA",SOLD,"$70,500",2024-04-29,Porsche,911,964,1990,WP0AB2967LS451694,Green,Beige/Tan,2024-04-29,,,,
59k mi,Automatic,LHD,"Thousand Oaks, California, USA",SOLD,"$84,000",2024-03-12,Porsche,911,964,1990,WP0AB2964LS451930,Red,Black,2024-03-12,,,,
122k mi,Automatic,LHD,"Wheaton, IL, USA",SOLD,"$92,500",2024-01-15,Porsche,911,964,1991,WP0AB2967MS411200,Black,Black,2024-01-15,,,,
62k mi,Automatic,LHD,"Kissimmee, Florida, USA",NOT SOLD,,2024-01-14,Porsche,911,964,1991,WP0AB2963MS410853,Gold,Black,2024-01-14,,,,
137k km (85k mi),Automatic,RHD,"Brisbane City, QLD, AUS",NOT SOLD,,2023-10-31,Porsche,911,964,1993,WP0ZZZ96ZNS400333,Purple,Black,2023-10-31,,,,
65k km (40k mi),Automatic,LHD,"Neufahrn bei Freising, DEU",SOLD,"€63,000 ($68,932)",2023-08-08,Porsche,911,964,1991,WP0ZZZ96ZMS400561,Gray,Black,2023-08-08,,,,
65k km (40k mi),Automatic,LHD,"Neufahrn bei Freising, DEU",NOT SOLD,,2023-06-01,Porsche,911,964,1991,WP0ZZZ96ZMS400561,Gray,Black,2023-08-08,,,,
226k km (140k mi),Automatic,LHD,"Gävle, SWE",SOLD,"€52,500 ($56,498)",2023-02-09,Porsche,911,964,1991,WP0ZZZ96ZMS404216,Gray,Beige/Tan,2023-02-09,,,,
113k km (70k mi),Automatic,LHD,"Dubai, ARE",NOT SOLD,,2023-01-27,Porsche,911,964,1990,WP0ZZZ96ZLS407785,Gray,Black,2023-01-27,,,,
139k km (86k mi),Automatic,LHD,Kuwait,SOLD,"$70,166",2023-01-20,Porsche,911,964,1993,WP0ZZZ00ZRS311663,Blue,Brown,2023-01-20,,,,
87k mi,Automatic,LHD,"Martin, TN, USA",SOLD,"$94,000",2023-01-09,Porsche,911,964,1990,WP0AB2969LS451678,White,Black,2023-01-09,,,,
57k mi,Automatic,LHD,"Los Angeles, CA, USA",SOLD,"$65,964",2023-01-05,Porsche,911,964,1991,WP0AB2962MS410228,White,Gray,2023-01-05,,,,
43k mi,Automatic,LHD,"New York, NY, USA",NOT SOLD,,2022-12-05,Porsche,911,964,1991,WP0AB2966MS410393,Red,Beige/Tan,2022-12-05,,,,
TMU,Automatic,LHD,"Chattanooga, TN, USA",SOLD,"$57,750",2022-10-15,Porsche,911,964,1990,WP0AB2969LS451678,White,Black,2023-01-09,,,,
111k mi,Automatic,LHD,"Monterey County, CA, USA",SOLD,"$78,400",2022-08-20,Porsche,911,964,1992,WP0AB2963NS420428,White,Beige/Tan,2022-08-20,,,,
197k km (122k mi),Automatic,LHD,"Roosendaal, NLD",NOT SOLD,,2022-07-20,Porsche,911,964,1992,WP0ZZZ96ZNS404057,Green,Gray,2022-07-20,,,,
197k km (122k mi),Automatic,LHD,"Roosendaal, NLD",NOT SOLD,,2022-06-24,Porsche,911,964,1992,-,Green,Gray,2022-06-24,,,,
76k km (47k mi),Automatic,LHD,"North York, ON, CAN",SOLD,"$73,000",2022-04-19,Porsche,911,964,1991,WP0ZZZ96ZMS404520,Black,Black,2022-04-19,,,,
109k km (67k mi),Automatic,LHD,"London, GBR",SOLD,"£48,375 ($63,900)",2022-03-06,Porsche,911,964,1993,WP0ZZZ96ZNS403671,Blue,Blue,2022-03-06,,,,
114k km (71k mi),Automatic,LHD,"Maldon, GBR",NOT SOLD,,2021-10-01,Porsche,911,964,1993,WP0ZZZ96ZNS403671,Blue,Blue,2022-03-06,,,,
113k km (70k mi),Automatic,LHD,"Cologne, DEU",SOLD,"€56,500 ($66,856)",2021-08-05,Porsche,911,964,1992,WP0ZZZ96ZNS404589,White,Gray,2021-08-05,,,,
113k km (70k mi),Automatic,LHD,"Cologne, DEU",NOT SOLD,,2021-07-05,Porsche,911,964,1992,WP0ZZZ96ZNS404589,White,Gray,2021-08-05,,,,
