Mileage,Transmission,Drive Type,Selling location,Sold,Selling price,Date of publication ,Manufacturer,Model Family,Model Generation,Production year ,VIN of the vehicle ,Ext. Color Group,Int. Color Group,Date of sale/ending ,Number of pictures in listing,Number of videos in listing,Total number of bids,History_Date_0,History_Event_0,History_Details_0,History_Date_1,History_Event_1,History_Details_1,Interior material
117k mi,Automatic,LHD,"Hailey, Idaho, USA",FOR SALE,"$105,000",2024-04-27,Porsche,911,964,1993,WP0ZZZ96ZPS401677,Green,Black,2024-04-27,,,,,,,,,,
32k km (20k mi),Automatic,LHD,"Monaco, MCO",NOT SOLD,,2024-05-09,Porsche,911,964,1991,WP0ZZZ96ZMS400084,Red,Black,2024-05-09,,,,"May 9, 2024",Not Sold at Artcurial (EU),"32,763 km (20,358 mi) · Monaco, MCO",,,,
169k mi,Automatic,LHD,"Ottumwa, Iowa, USA",SOLD,"$70,500",2024-04-29,Porsche,911,964,1990,WP0AB2967LS451694,Green,Beige/Tan,2024-04-29,,,,"Apr 29, 2024",Sold at Bring a Trailer Auctions,"for $70,500 169,000 mi ·",,,,
59k mi,Automatic,LHD,"Thousand Oaks, California, USA",SOLD,"$84,000",2024-03-12,Porsche,911,964,1990,WP0AB2964LS451930,Red,Black,2024-03-12,,,,"Mar 12, 2024",Sold at Bring a Trailer Auctions,"for $84,000 59,000 mi ·",,,,
122k mi,Automatic,LHD,"Wheaton, IL, USA",SOLD,"$92,500",2024-01-15,Porsche,911,964,1991,WP0AB2967MS411200,Black,Black,2024-01-15,,,,"Jan 15, 2024",Sold at Bring a Trailer Auctions,"for $92,500 122,514 mi ·",,,,
62k mi,Automatic,LHD,"Kissimmee, Florida, USA",NOT SOLD,,2024-01-14,Porsche,911,964,1991,WP0AB2963MS410853,Gold,Black,2024-01-14,,,,"Jan 14, 2024",Not Sold at Mecum,with a HIGH BID,,,,
137k km (85k mi),Automatic,RHD,"Brisbane City, QLD, AUS",NOT SOLD,,2023-10-31,Porsche,911,964,1993,WP0ZZZ96ZNS400333,Purple,Black,2023-10-31,,,,"Oct 31, 2023",Not Sold at Collecting Cars,"137,417 km (85,387 mi) · Brisbane City, QLD, AUS",,,,
65k km (40k mi),Automatic,LHD,"Neufahrn bei Freising, DEU",SOLD,"€63,000 ($68,932)",2023-08-08,Porsche,911,964,1991,WP0ZZZ96ZMS400561,Gray,Black,2023-08-08,,,,"Aug 8, 2023",Sold at Collecting Cars Auctions,"for $68,932 65,450 km (40,669 mi) ·","Jun 1, 2023",Not Sold at Collecting Cars,"65,450 km (40,669 mi) · Neufahrn bei Freising, DEU",
65k km (40k mi),Automatic,LHD,"Neufahrn bei Freising, DEU",NOT SOLD,,2023-06-01,Porsche,911,964,1991,WP0ZZZ96ZMS400561,Gray,Black,2023-08-08,,,,"Aug 8, 2023",Sold at Collecting Cars Auctions,"for $68,932 65,450 km (40,669 mi) ·","Jun 1, 2023",Not Sold at Collecting Cars,"65,450 km (40,669 mi) · Neufahrn bei Freising, DEU",
226k km (140k mi),Automatic,LHD,"Gävle, SWE",SOLD,"€52,500 ($56,498)",2023-02-09,Porsche,911,964,1991,WP0ZZZ96ZMS404216,Gray,Beige/Tan,2023-02-09,,,,"Feb 9, 2023",Sold at Collecting Cars Auctions,"for $56,498 226,266 km (140,595 mi) ·",,,,
113k km (70k mi),Automatic,LHD,"Dubai, ARE",NOT SOLD,,2023-01-27,Porsche,911,964,1990,WP0ZZZ96ZLS407785,Gray,Black,2023-01-27,,,,"Jan 27, 2023",Not Sold at Collecting Cars,"113,771 km (70,694 mi) · Dubai, ARE",,,,
139k km (86k mi),Automatic,LHD,Kuwait,SOLD,"$70,166",2023-01-20,Porsche,911,964,1993,WP0ZZZ00ZRS311663,Blue,Brown,2023-01-20,,,,"Jan 20, 2023",Sold at Collecting Cars Auctions,"for $70,166 139,218 km (86,506 mi) ·",,,,
87k mi,Automatic,LHD,"Martin, TN, USA",SOLD,"$94,000",2023-01-09,Porsche,911,964,1990,WP0AB2969LS451678,White,Black,2023-01-09,,,,"Jan 9, 2023",Sold at Bring a Trailer Auctions,"for $94,000 87,786 mi ·",,,,
57k mi,Automatic,LHD,"Los Angeles, CA, USA",SOLD,"$65,964",2023-01-05,Porsche,911,964,1991,WP0AB2962MS410228,White,Gray,2023-01-05,,,,"Jan 5, 2023",Sold at Bring a Trailer Auctions,"for $65,964 57,215 mi ·",,,,
43k mi,Automatic,LHD,"New York, NY, USA",NOT SOLD,,2022-12-05,Porsche,911,964,1991,WP0AB2966MS410393,Red,Beige/Tan,2022-12-05,,,,,,,,,,
TMU,Automatic,LHD,"Chattanooga, TN, USA",SOLD,"$57,750",2022-10-15,Porsche,911,964,1990,WP0AB2969LS451678,White,Black,2023-01-09,,,,"Jan 9, 2023",Sold at Bring a Trailer Auctions,"for $94,000 87,786 mi ·",,,,
111k mi,Automatic,LHD,"Monterey County, CA, USA",SOLD,"$78,400",2022-08-20,Porsche,911,964,1992,WP0AB2963NS420428,White,Beige/Tan,2022-08-20,,,,,,,,,,
197k km (122k mi),Automatic,LHD,"Roosendaal, NLD",NOT SOLD,,2022-07-20,Porsche,911,964,1992,WP0ZZZ96ZNS404057,Green,Gray,2022-07-20,,,,,,,,,,
197k km (122k mi),Automatic,LHD,"Roosendaal, NLD",NOT SOLD,,2022-06-24,Porsche,911,964,1992,-,Green,Gray,2022-06-24,,,,,,,,,,
76k km (47k mi),Automatic,LHD,"North York, ON, CAN",SOLD,"$73,000",2022-04-19,Porsche,911,964,1991,WP0ZZZ96ZMS404520,Black,Black,2022-04-19,,,,,,,,,,
109k km (67k mi),Automatic,LHD,"London, GBR",SOLD,"£48,375 ($63,900)",2022-03-06,Porsche,911,964,1993,WP0ZZZ96ZNS403671,Blue,Blue,2022-03-06,,,,,,,,,,
114k km (71k mi),Automatic,LHD,"Maldon, GBR",NOT SOLD,,2021-10-01,Porsche,911,964,1993,WP0ZZZ96ZNS403671,Blue,Blue,2022-03-06,,,,,,,,,,
113k km (70k mi),Automatic,LHD,"Cologne, DEU",SOLD,"€56,500 ($66,856)",2021-08-05,Porsche,911,964,1992,WP0ZZZ96ZNS404589,White,Gray,2021-08-05,,,,,,,,,,
113k km (70k mi),Automatic,LHD,"Cologne, DEU",NOT SOLD,,2021-07-05,Porsche,911,964,1992,WP0ZZZ96ZNS404589,White,Gray,2021-08-05,,,,,,,,,,
